GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 18 years:,Margin of Error; Male: - Under 18 years:,Estimate; Male: - Under 18 years: - Native,Margin of Error; Male: - Under 18 years: - Native,Estimate; Male: - Under 18 years: - Foreign born:,Margin of Error; Male: - Under 18 years: - Foreign born:,Estimate; Male: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Male: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Estimate; Male: - Under 18 years: - Foreign born: - Not a U.S. citizen,Margin of Error; Male: - Under 18 years: - Foreign born: - Not a U.S. citizen,Estimate; Male: - 18 years and over:,Margin of Error; Male: - 18 years and over:,Estimate; Male: - 18 years and over: - Native,Margin of Error; Male: - 18 years and over: - Native,Estimate; Male: - 18 years and over: - Foreign born:,Margin of Error; Male: - 18 years and over: - Foreign born:,Estimate; Male: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Male: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Estimate; Male: - 18 years and over: - Foreign born: - Not a U.S. citizen,Margin of Error; Male: - 18 years and over: - Foreign born: - Not a U.S. citizen,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 18 years:,Margin of Error; Female: - Under 18 years:,Estimate; Female: - Under 18 years: - Native,Margin of Error; Female: - Under 18 years: - Native,Estimate; Female: - Under 18 years: - Foreign born:,Margin of Error; Female: - Under 18 years: - Foreign born:,Estimate; Female: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Female: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Estimate; Female: - Under 18 years: - Foreign born: - Not a U.S. citizen,Margin of Error; Female: - Under 18 years: - Foreign born: - Not a U.S. citizen,Estimate; Female: - 18 years and over:,Margin of Error; Female: - 18 years and over:,Estimate; Female: - 18 years and over: - Native,Margin of Error; Female: - 18 years and over: - Native,Estimate; Female: - 18 years and over: - Foreign born:,Margin of Error; Female: - 18 years and over: - Foreign born:,Estimate; Female: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Female: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Estimate; Female: - 18 years and over: - Foreign born: - Not a U.S. citizen,Margin of Error; Female: - 18 years and over: - Foreign born: - Not a U.S. citizen
8600000US73430,73430,ZCTA5 73430,1313,213,714,135,130,53,130,53,0,9,0,9,0,9,584,114,584,114,0,9,0,9,0,9,599,106,86,35,86,35,0,9,0,9,0,9,513,94,505,93,8,9,8,9,0,9
8600000US73931,73931,ZCTA5 73931,473,94,255,57,71,33,71,33,0,9,0,9,0,9,184,32,181,32,3,5,0,9,3,5,218,47,57,22,57,22,0,9,0,9,0,9,161,33,156,33,5,5,2,3,3,4
8600000US73949,73949,ZCTA5 73949,1434,219,741,135,176,81,168,81,8,9,0,11,8,9,565,92,413,69,152,68,48,32,104,66,693,113,107,47,86,36,21,24,13,23,8,10,586,105,450,83,136,50,36,22,100,44
8600000US75001,75001,ZCTA5 75001,14617,291,7421,302,757,167,732,169,25,31,9,15,16,26,6664,310,5040,382,1624,245,552,167,1072,197,7196,323,1041,243,887,223,154,109,0,21,154,109,6155,354,4533,429,1622,285,639,138,983,244
8600000US75002,75002,ZCTA5 75002,69688,1186,34658,1036,10875,751,10217,728,658,279,128,91,530,237,23783,870,18846,815,4937,585,2840,427,2097,489,35030,1008,9705,631,9542,624,163,92,15,23,148,88,25325,760,20236,819,5089,541,3007,441,2082,375
8600000US75006,75006,ZCTA5 75006,50788,474,24748,766,6672,575,6190,542,482,162,16,24,466,162,18076,676,10577,602,7499,488,2174,296,5325,449,26040,684,6571,588,6072,562,499,222,9,14,490,223,19469,495,11909,564,7560,516,2488,320,5072,460
8600000US75007,75007,ZCTA5 75007,53744,1333,26431,914,6303,512,5896,493,407,153,108,79,299,126,20128,723,13976,569,6152,566,3139,427,3013,443,27313,851,5774,418,5349,411,425,146,86,51,339,145,21539,684,15226,596,6313,465,3371,413,2942,352
8600000US75009,75009,ZCTA5 75009,10557,774,4910,441,1064,236,1033,234,31,29,26,29,5,7,3846,344,3395,315,451,196,111,86,340,176,5647,544,1632,377,1588,387,44,45,16,25,28,37,4015,350,3474,363,541,222,144,107,397,202
8600000US75010,75010,ZCTA5 75010,27822,1099,13814,674,3407,425,3247,421,160,89,45,46,115,83,10407,523,7242,526,3165,448,1977,328,1188,322,14008,747,2954,420,2746,391,208,139,60,62,148,115,11054,577,7647,557,3407,428,2111,324,1296,318
8600000US75013,75013,ZCTA5 75013,38975,1118,19575,886,6482,566,6048,541,434,244,162,140,272,202,13093,607,9624,648,3469,406,2156,349,1313,336,19400,819,5632,535,5412,497,220,122,82,50,138,104,13768,592,9165,634,4603,479,3002,504,1601,328
8600000US75019,75019,ZCTA5 75019,41947,365,20769,476,5983,332,5490,325,493,149,85,48,408,152,14786,409,10740,477,4046,333,1832,233,2214,359,21178,476,5256,337,4729,345,527,153,137,84,390,143,15922,374,11205,436,4717,335,2315,294,2402,310
8600000US75020,75020,ZCTA5 75020,21891,491,10780,463,2412,258,2401,257,11,16,11,16,0,25,8368,401,7852,437,516,197,151,96,365,184,11111,454,2219,275,2219,275,0,25,0,25,0,25,8892,291,8490,334,402,137,139,71,263,131
8600000US75021,75021,ZCTA5 75021,8704,683,4165,435,1146,237,1139,237,7,12,7,12,0,19,3019,311,2808,296,211,99,56,46,155,87,4539,390,1049,217,1037,213,12,19,0,19,12,19,3490,280,3323,270,167,80,52,42,115,67
8600000US75022,75022,ZCTA5 75022,24625,602,12049,416,3729,326,3581,333,148,59,83,49,65,37,8320,350,6793,368,1527,169,972,163,555,127,12576,426,3921,278,3780,292,141,66,81,47,60,45,8655,310,7102,317,1553,181,1013,160,540,128
8600000US75023,75023,ZCTA5 75023,49563,1099,24177,836,5815,565,5299,506,516,265,15,25,501,264,18362,552,13946,572,4416,402,2219,329,2197,327,25386,911,5193,434,4819,439,374,148,120,87,254,117,20193,693,15313,738,4880,471,2496,346,2384,369
8600000US75024,75024,ZCTA5 75024,42405,903,20970,664,4956,357,4342,324,614,150,105,60,509,151,16014,530,9386,539,6628,471,2907,307,3721,370,21435,725,4776,386,3895,334,881,260,76,53,805,256,16659,624,10404,595,6255,430,2816,250,3439,346
8600000US75025,75025,ZCTA5 75025,53559,1078,26499,844,7246,557,6822,545,424,117,133,64,291,104,19253,606,12445,554,6808,404,3959,395,2849,385,27060,811,6525,435,5924,421,601,149,209,108,392,131,20535,560,13535,535,7000,402,4182,383,2818,298
8600000US75028,75028,ZCTA5 75028,47056,628,22950,554,6622,454,6371,450,251,103,81,56,170,81,16328,462,14212,467,2116,223,1217,154,899,193,24106,542,6089,415,5816,406,273,111,102,52,171,108,18017,386,15426,451,2591,211,1583,183,1008,170
8600000US75032,75032,ZCTA5 75032,31399,1019,15871,696,4424,356,4349,345,75,76,2,4,73,76,11447,544,9639,497,1808,427,651,179,1157,417,15528,536,3967,367,3837,354,130,92,13,22,117,92,11561,452,10060,474,1501,260,724,206,777,217
8600000US75034,75034,ZCTA5 75034,95996,1400,47042,947,14675,659,14019,614,656,172,186,76,470,143,32367,753,25205,837,7162,596,3468,345,3694,518,48954,1001,14709,736,13917,766,792,209,133,59,659,200,34245,648,26210,792,8035,685,4183,410,3852,588
8600000US75035,75035,ZCTA5 75035,65264,1097,32326,829,10851,625,10434,639,417,138,174,87,243,85,21475,595,14523,594,6952,594,3910,444,3042,326,32938,651,10371,501,9834,484,537,164,142,85,395,130,22567,465,15205,498,7362,491,4149,327,3213,434
8600000US75038,75038,ZCTA5 75038,29762,1074,14944,867,3823,511,3333,454,490,173,8,12,482,172,11121,641,5553,516,5568,474,1061,232,4507,428,14818,773,3917,487,3501,488,416,157,13,21,403,156,10901,533,6350,485,4551,456,987,221,3564,406
8600000US75039,75039,ZCTA5 75039,18010,973,9028,539,1512,263,1187,248,325,125,28,45,297,126,7516,430,4259,422,3257,310,1120,221,2137,300,8982,660,1791,443,1451,359,340,259,0,21,340,259,7191,440,4084,403,3107,304,926,195,2181,307
8600000US75040,75040,ZCTA5 75040,62277,1429,30419,1173,8752,682,8333,657,419,162,74,71,345,148,21667,873,13103,737,8564,821,3441,342,5123,732,31858,913,8547,612,8086,613,461,178,98,69,363,166,23311,707,14756,757,8555,698,3494,443,5061,567
8600000US75041,75041,ZCTA5 75041,33304,1057,16958,848,5745,591,5184,527,561,211,18,33,543,207,11213,589,6387,495,4826,392,996,251,3830,388,16346,666,5174,549,4627,534,547,193,0,28,547,193,11172,403,6729,422,4443,395,1131,240,3312,360
8600000US75042,75042,ZCTA5 75042,39559,1468,19998,1037,6311,642,5894,620,417,150,36,26,381,149,13687,727,6650,441,7037,703,1974,357,5063,735,19561,840,5751,615,5266,581,485,231,68,47,417,230,13810,605,6917,526,6893,607,2306,383,4587,520
8600000US75043,75043,ZCTA5 75043,59951,1515,28836,1065,8538,784,8189,757,349,130,81,53,268,119,20298,697,14801,737,5497,480,2888,335,2609,436,31115,980,7642,648,7253,648,389,194,100,56,289,181,23473,746,17703,732,5770,457,2940,430,2830,460
8600000US75044,75044,ZCTA5 75044,40942,1254,19416,783,4045,406,3750,385,295,150,59,65,236,140,15371,754,10227,687,5144,551,3031,529,2113,320,21526,864,4484,396,4101,390,383,149,130,90,253,131,17042,684,11486,542,5556,620,3062,491,2494,384
