Zip Code,City,County
73030,"Davis, OK",Murray
73032,"Dougherty, OK",Murray
73086,"Sulphur, OK",Murray
73401,"Ardmore, OK",Carter
73402,"Ardmore, OK",Carter
73403,"Ardmore, OK",Carter
73425,"Countyline, OK",Stephens
73430,"Burneyville, OK",Love
73432,"Coleman, OK",Johnston
73435,"Fox, OK",Carter
73436,"Gene Autry, OK",Carter
73437,"Graham, OK",Carter
73438,"Healdton, OK",Carter
73439,"Kingston, OK",Marshall
73440,"Lebanon, OK",Marshall
73441,"Leon, OK",Love
73442,"Loco, OK",Stephens
73443,"Lone Grove, OK",Carter
73444,"Hennepin, OK",Carter
73446,"Madill, OK",Marshall
73447,"Mannsville, OK",Johnston
73448,"Marietta, OK",Love
73449,"Mead, OK",Bryan
73450,"Milburn, OK",Johnston
73453,"Overbrook, OK",Love
73455,"Ravia, OK",Johnston
73456,"Ringling, OK",Jefferson
73458,"Springer, OK",Carter
73459,"Thackerville, OK",Love
73460,"Tishomingo, OK",Johnston
73461,"Wapanucka, OK",Johnston
73463,"Wilson, OK",Carter
73481,"Ratliff City, OK",Carter
73520,"Addington, OK",Jefferson
73561,"Oscar, OK",Jefferson
73565,"Ryan, OK",Jefferson
73569,"Terral, OK",Jefferson
73573,"Waurika, OK",Jefferson
74523,"Antlers, OK",Pushmataha
74525,"Atoka, OK",Atoka
74530,"Bromide, OK",Johnston
74533,"Caney, OK",Atoka
74535,"Clarita, OK",Coal
74542,"Farris, OK",Atoka
74555,"Lane, OK",Atoka
74556,"Lehigh, OK",Coal
74701,"Durant, OK",Bryan
74702,"Durant, OK",Bryan
74720,"Achille, OK",Bryan
74721,"Albany, OK",Bryan
74723,"Bennington, OK",Bryan
74726,"Bokchito, OK",Bryan
74727,"Boswell, OK",Choctaw
74729,"Caddo, OK",Bryan
74730,"Calera, OK",Bryan
74731,"Cartwright, OK",Bryan
74733,"Colbert, OK",Bryan
74738,"Grant, OK",Choctaw
74741,"Hendrix, OK",Bryan
74743,"Hugo, OK",Choctaw
74747,"Kemp, OK",Bryan
74748,"Kenefic, OK",Johnston
74753,"Platter, OK",Bryan
74756,"Sawyer, OK",Choctaw
74759,"Soper, OK",Choctaw
74836,"Connerville, OK",Johnston
74856,"Mill Creek, OK",Johnston
75001,"Addison, TX",Dallas
75002,"Allen, TX",Collin
75006,"Carrollton, TX",Dallas
75007,"Carrollton, TX",Denton
75009,"Celina, TX",Collin
75010,"Carrollton, TX",Denton
75011,"Carrollton, TX",Dallas
75013,"Allen, TX",Collin
75014,"Irving, TX",Dallas
75015,"Irving, TX",Dallas
75016,"Irving, TX",Dallas
75017,"Irving, TX",Dallas
75019,"Coppell, TX",Dallas
75020,"Denison, TX",Grayson
75021,"Denison, TX",Grayson
