,Zipcode,Count_of_preschools,Total_Population,Population_Under_5,Occupied housing units," Less than $5,000"," $5,000 to $9,999"," $10,000 to $14,999"," $15,000 to $19,999"," $20,000 to $24,999"," $25,000 to $34,999"," $35,000 to $49,999"," $50,000 to $74,999"," $75,000 to $99,999"," $100,000 to $149,999"," $150,000 or more",Median household income,Mean household income,kids_to_PreSchool
0,75001,4,14617,576,8287,3.3,1.7,2.1,2.6,3.1,7.6,12.4,19.4,14.0,20.4,13.5,73578.0,87142.0,144.0
1,75002,15,69688,4439,22029,1.1,1.0,1.4,1.8,2.2,5.6,9.3,15.4,13.1,24.2,24.9,98652.0,122917.0,295.93333333333334
2,75006,11,50788,3661,17780,1.0,1.6,4.6,4.1,5.2,11.1,14.0,21.5,12.4,13.5,11.0,57415.0,76769.0,332.8181818181818
3,75007,11,53744,2879,19109,1.3,0.8,2.5,2.8,2.7,6.7,11.6,16.9,15.5,21.4,17.9,82079.0,98559.0,261.72727272727275
4,75010,10,27822,1706,11083,2.8,0.7,1.8,3.9,1.1,6.4,12.4,15.9,14.4,20.7,19.8,81856.0,100855.0,170.6
5,75013,12,38975,2057,12894,0.7,0.3,1.1,0.8,1.3,4.2,6.4,13.6,10.0,20.5,41.1,124915.0,153049.0,171.41666666666666
6,75019,6,41947,2371,15346,0.8,0.5,1.4,1.4,2.4,3.8,8.5,11.4,12.4,19.9,37.6,118471.0,146940.0,395.1666666666667
7,75020,1,21891,1356,8811,2.8,4.4,6.3,7.7,5.8,11.9,13.4,18.0,13.9,9.2,6.7,46582.0,64553.0,1356.0
8,75021,1,8704,543,3242,1.9,6.1,5.5,8.1,3.8,11.3,13.4,15.9,14.8,12.3,6.8,49910.0,64517.0,543.0
9,75022,12,24625,1495,7587,0.4,0.5,1.0,0.6,1.4,2.6,2.4,6.7,7.5,22.0,54.9,156902.0,189502.0,124.58333333333333
10,75023,25,49563,2882,18298,1.8,0.7,2.0,1.9,2.3,6.8,10.5,18.5,15.5,22.4,17.5,83764.0,99019.0,115.28
11,75024,25,42405,2162,17692,3.0,1.1,1.6,1.6,1.6,4.4,9.6,16.8,13.6,21.2,25.6,91795.0,119717.0,86.48
12,75025,22,53559,2672,19007,2.1,1.1,1.1,1.3,1.8,4.0,5.0,14.5,10.6,23.4,35.1,112999.0,140670.0,121.45454545454545
13,75028,12,47056,2628,15966,0.6,0.6,0.7,1.1,1.1,3.4,7.1,11.7,14.0,26.9,32.9,115490.0,132791.0,219.0
14,75032,2,31399,1428,10703,0.9,0.7,2.4,2.4,2.7,4.2,8.4,15.4,11.7,21.2,30.0,101851.0,129812.0,714.0
15,75034,30,95996,6561,33152,1.9,0.8,1.2,1.6,1.8,4.6,7.8,11.4,11.4,20.9,36.5,116962.0,144706.0,218.7
16,75035,14,65264,4539,21127,0.8,0.7,1.3,0.9,1.8,3.0,6.4,11.2,12.2,25.5,36.1,122843.0,137568.0,324.2142857142857
17,75038,15,29762,2961,12389,2.3,2.5,4.8,4.7,7.5,10.6,16.7,21.7,11.1,10.3,7.8,51444.0,69031.0,197.4
18,75039,15,18010,1569,8849,1.3,0.9,0.5,1.2,2.3,5.0,6.1,21.4,18.3,21.2,21.9,89845.0,114511.0,104.6
19,75040,17,62277,4659,18499,1.8,1.6,2.0,3.6,5.5,10.7,14.7,24.1,14.6,14.9,6.6,59305.0,71080.0,274.05882352941177
20,75041,14,33304,3060,9708,1.9,3.1,8.5,5.8,6.3,13.2,18.0,20.7,8.5,9.4,4.7,42556.0,57319.0,218.57142857142858
21,75042,17,39559,2944,11623,2.9,4.0,5.9,5.3,7.0,15.5,15.2,19.8,12.2,8.8,3.2,42153.0,53408.0,173.1764705882353
22,75043,8,59951,4500,20860,2.0,2.7,3.1,3.8,4.6,11.3,15.0,21.4,14.8,13.6,7.8,58571.0,70556.0,562.5
23,75044,14,40942,1403,15167,2.4,1.1,3.5,2.9,2.6,9.4,13.6,23.5,16.2,12.5,12.4,64085.0,84240.0,100.21428571428571
24,75048,4,24203,2166,7522,0.9,0.0,0.3,1.6,0.9,3.9,10.8,19.3,16.8,27.0,18.5,97666.0,104218.0,541.5
25,75050,6,42670,3928,14640,3.3,2.2,4.1,4.1,4.2,13.4,17.4,23.0,12.5,10.6,5.2,50889.0,62102.0,654.6666666666666
26,75051,10,40962,3540,12709,4.4,5.3,4.9,6.4,6.6,14.6,15.9,20.7,10.8,7.8,2.7,40841.0,50808.0,354.0
27,75052,9,94133,5611,29494,2.1,1.1,2.7,2.3,2.6,6.6,10.8,22.1,17.4,20.1,12.3,74859.0,85538.0,623.4444444444445
28,75054,5,10764,860,3114,1.0,0.0,1.1,0.8,0.6,1.6,5.0,9.6,14.5,31.8,33.9,116784.0,130918.0,172.0
29,75056,4,57115,3911,20777,0.6,1.3,1.7,2.6,1.9,6.7,10.2,19.4,16.1,18.8,20.8,83141.0,115264.0,977.75
30,75057,15,14562,950,5035,1.4,1.5,4.2,4.5,4.2,10.1,20.1,25.4,13.4,11.8,3.4,51861.0,61931.0,63.333333333333336
31,75060,7,47922,3686,14295,2.7,2.7,4.4,5.3,6.3,9.8,15.4,22.4,14.7,11.7,4.6,52749.0,62667.0,526.5714285714286
32,75061,11,54907,5327,17456,1.4,2.8,4.1,6.2,6.4,16.3,19.2,21.8,9.4,8.4,3.9,44079.0,56987.0,484.27272727272725
33,75062,14,48553,3933,16248,2.6,1.7,3.9,4.4,5.3,11.7,20.2,21.5,11.7,10.1,6.9,50133.0,67262.0,280.92857142857144
34,75063,13,38383,2701,15743,2.8,1.0,2.6,2.6,1.5,5.7,9.8,16.9,13.8,21.3,22.0,85165.0,109764.0,207.76923076923077
35,75067,13,66896,5484,24913,1.2,1.7,2.4,4.0,4.6,10.3,15.9,24.4,12.6,14.3,8.6,60029.0,73134.0,421.84615384615387
36,75068,3,55848,4624,17670,2.0,1.1,1.2,1.5,1.5,5.4,7.6,17.1,16.9,26.0,19.7,94356.0,104908.0,1541.3333333333333
37,75074,15,48977,3223,16430,3.5,1.4,3.2,3.2,4.4,9.7,13.5,17.8,15.2,15.4,12.7,65558.0,81671.0,214.86666666666667
38,75075,25,35933,1878,14081,4.0,1.2,3.6,3.3,2.6,7.2,9.3,18.7,11.8,19.4,18.8,75123.0,93946.0,75.12
39,75077,9,36181,1933,12966,1.7,0.5,1.3,1.4,1.8,5.8,10.3,13.4,12.7,22.9,28.4,103326.0,124282.0,214.77777777777777
40,75078,1,20611,1640,6111,2.2,0.1,0.7,0.3,1.7,2.1,5.0,10.6,9.5,22.9,45.0,136642.0,165497.0,1640.0
41,75080,12,50247,3390,18553,4.2,3.1,2.2,3.6,3.6,8.5,11.0,17.7,11.6,18.4,16.1,69440.0,91502.0,282.5
42,75081,16,37960,2936,14482,1.6,1.7,2.4,2.7,3.6,9.6,13.8,19.5,14.6,17.3,13.1,66513.0,83863.0,183.5
43,75082,15,23733,1139,8956,1.4,0.9,1.0,1.5,1.5,6.1,4.9,10.7,12.3,24.6,35.0,120237.0,138705.0,75.93333333333334
44,75087,2,33110,2324,11417,0.5,0.8,2.5,2.2,3.1,5.8,9.4,13.7,13.8,25.2,23.0,96471.0,111123.0,1162.0
45,75088,7,25842,1440,8842,2.1,0.1,1.3,1.6,2.6,7.8,10.0,14.8,16.3,25.1,18.3,86140.0,101072.0,205.71428571428572
46,75089,7,33117,2129,10638,1.4,0.5,1.2,1.8,0.8,6.0,10.2,16.8,14.8,26.3,20.3,97534.0,106818.0,304.14285714285717
47,75090,2,23936,2073,8052,4.2,5.8,6.7,6.9,6.9,13.9,18.1,17.5,11.2,6.7,2.2,38086.0,49170.0,1036.5
48,75092,2,24312,1267,9901,2.3,4.1,5.6,4.6,4.4,8.7,14.0,19.0,15.3,13.2,8.8,56958.0,72399.0,633.5
49,75093,27,48021,2268,19443,2.3,1.3,1.7,1.6,2.0,4.8,8.2,14.2,12.4,18.0,33.5,102889.0,153821.0,84.0
50,75094,5,23097,1533,6123,1.7,0.6,0.7,1.4,1.2,1.3,4.5,11.5,13.6,22.3,41.2,127095.0,148422.0,306.6
51,75098,8,54534,4027,16866,0.8,1.1,2.1,2.3,2.8,4.1,11.1,17.3,15.3,27.9,15.1,88453.0,97392.0,503.375
52,75103,2,13967,647,5163,2.6,2.5,5.4,4.5,8.6,10.7,14.6,19.2,13.0,11.5,7.4,50722.0,68415.0,323.5
53,75104,1,48568,3704,15937,2.9,2.3,2.6,2.0,2.7,7.5,13.3,21.3,15.5,19.1,10.8,69699.0,82640.0,3704.0
54,75110,2,28847,2244,10128,4.3,4.7,4.4,8.2,6.5,13.1,16.3,17.6,10.3,8.7,6.0,42843.0,59411.0,1122.0
55,75116,2,19996,2136,6507,2.8,3.2,6.8,7.6,5.0,12.6,17.2,16.0,12.7,11.2,4.9,44222.0,58344.0,1068.0
56,75125,2,6236,526,2083,9.3,2.1,3.6,4.9,2.6,16.4,8.6,28.5,12.3,6.4,5.2,52171.0,59205.0,263.0
57,75126,4,42409,3603,12527,1.1,1.2,2.0,1.5,2.1,4.6,8.9,20.2,14.6,28.3,15.4,89782.0,99025.0,900.75
58,75132,1,1864,256,570,0.0,0.0,0.0,0.0,3.0,2.6,10.0,42.6,23.3,9.1,9.3,70364.0,83274.0,256.0
59,75134,1,22106,1999,6999,3.6,3.9,5.4,4.4,6.0,13.2,13.8,23.8,11.0,11.2,3.7,49440.0,57161.0,1999.0
60,75137,2,19640,942,6826,2.7,1.9,2.7,2.5,4.1,9.8,17.1,20.7,14.9,13.6,10.0,59144.0,73855.0,471.0
61,75146,1,19071,1700,6617,2.9,0.6,6.8,4.5,3.7,8.5,15.6,22.9,16.8,12.9,4.9,56458.0,67902.0,1700.0
62,75147,2,6736,456,2294,2.7,4.0,8.0,3.3,8.8,10.5,12.9,21.9,12.3,11.0,4.4,46797.0,69844.0,228.0
63,75149,15,55797,4474,17834,3.2,3.8,5.2,7.6,4.6,11.5,17.6,20.6,10.1,11.4,4.4,47016.0,57900.0,298.26666666666665
64,75150,14,62297,5129,21391,2.0,2.7,4.4,3.7,6.3,13.3,18.7,21.3,12.0,10.5,5.3,48921.0,62106.0,366.35714285714283
65,75154,2,40225,2322,12436,0.8,2.5,3.1,2.9,2.1,7.9,10.7,20.9,17.5,17.6,14.0,73996.0,86869.0,1161.0
66,75156,2,15720,715,6255,3.9,4.8,3.4,5.8,5.3,12.6,14.6,20.8,11.6,11.5,5.8,49140.0,62525.0,357.5
67,75159,7,19440,1029,5470,2.1,2.8,4.6,2.4,6.7,13.5,19.2,16.4,12.6,12.3,7.3,48861.0,68972.0,147.0
68,75165,2,42048,3092,14793,2.8,2.1,4.7,2.6,4.9,10.2,12.0,20.9,15.2,15.5,9.1,61877.0,78818.0,1546.0
69,75167,2,10616,723,3325,0.0,1.3,1.7,1.9,4.5,3.7,11.3,19.6,17.9,24.8,13.2,82135.0,96584.0,361.5
70,75180,10,24112,2423,6251,4.2,3.8,3.8,5.2,7.4,14.3,16.5,22.5,8.7,10.8,2.6,44228.0,53555.0,242.3
71,75181,7,27588,1410,7989,0.8,2.7,1.5,1.4,1.3,6.0,10.2,23.7,17.1,23.3,12.1,77238.0,88250.0,201.42857142857142
72,75182,2,6077,283,1793,0.0,0.4,0.0,0.8,1.8,1.8,8.2,6.6,7.5,29.6,43.2,137721.0,160772.0,141.5
73,75189,1,25560,1945,8113,0.9,2.7,2.9,1.4,5.4,5.3,11.2,17.2,16.9,21.4,14.6,81275.0,93307.0,1945.0
74,75201,30,15185,422,9080,5.5,2.2,1.9,0.7,1.9,3.4,8.5,15.3,17.0,19.7,23.9,90781.0,136944.0,14.066666666666666
75,75202,33,2029,53,1297,3.5,0.5,1.4,3.5,1.7,4.5,9.0,18.4,12.9,22.5,22.1,87375.0,113518.0,1.606060606060606
76,75203,26,16351,1194,6248,4.8,5.6,10.3,6.4,10.5,15.3,14.9,14.4,5.8,8.3,3.7,32699.0,46437.0,45.92307692307692
77,75204,32,30370,1175,16749,3.7,3.5,3.3,3.4,3.8,6.6,9.3,18.8,12.5,17.7,17.4,71766.0,98972.0,36.71875
78,75205,37,24211,1078,9061,2.4,1.2,2.0,2.2,4.0,4.3,4.8,10.0,10.2,12.4,46.5,129406.0,261480.0,29.135135135135137
79,75206,41,38762,2282,20424,4.7,2.6,4.0,4.4,3.7,7.3,11.6,19.1,13.2,13.4,15.9,63392.0,92125.0,55.65853658536585
80,75207,31,8028,29,1433,1.3,1.4,3.7,2.4,2.8,4.7,5.7,26.0,13.5,20.6,17.8,79926.0,116783.0,0.9354838709677419
81,75208,25,29448,2049,10166,2.5,4.2,4.4,3.9,5.9,10.5,11.9,18.7,11.9,11.6,14.3,55855.0,83005.0,81.96
82,75209,37,13898,766,6615,3.6,1.8,2.0,3.0,4.2,8.2,11.0,11.8,10.8,13.8,29.7,86963.0,158479.0,20.7027027027027
83,75210,31,8243,752,2823,7.4,11.6,10.2,10.7,7.5,19.3,15.7,9.8,7.4,0.4,0.1,25793.0,30971.0,24.258064516129032
84,75211,10,77600,6616,21552,3.8,4.0,6.4,7.0,8.8,15.7,14.9,20.9,10.3,5.8,2.6,38760.0,50330.0,661.6
85,75212,16,26120,2351,7441,5.1,13.3,8.4,9.2,6.7,11.3,18.7,14.2,6.6,4.8,1.7,30673.0,41431.0,146.9375
86,75214,37,34145,2990,15841,2.4,2.7,4.0,3.8,3.3,7.9,10.0,12.9,9.5,15.3,28.2,84709.0,134409.0,80.8108108108108
87,75215,30,15664,1131,6192,6.4,12.4,10.9,9.1,7.4,17.3,10.9,12.1,6.2,4.4,2.9,27358.0,40596.0,37.7
88,75216,16,52895,3988,17828,10.6,11.0,9.7,7.6,9.8,13.7,15.1,12.9,5.2,2.9,1.3,25763.0,35483.0,249.25
89,75217,4,85249,7846,23352,7.0,4.7,6.5,8.4,8.5,14.5,17.1,19.3,8.1,4.4,1.5,35282.0,43520.0,1961.5
90,75218,22,22264,994,10421,3.9,1.2,2.7,2.4,3.8,9.2,11.1,17.9,14.0,14.4,19.4,70272.0,103739.0,45.18181818181818
91,75219,31,23277,589,13990,2.8,2.6,2.7,2.3,3.6,5.9,13.1,21.8,12.4,13.9,19.0,67311.0,116014.0,19.0
92,75220,24,42642,3435,14324,1.9,2.3,5.3,6.9,10.2,14.6,17.3,18.6,6.6,7.1,9.3,43001.0,81462.0,143.125
93,75223,30,14351,982,4616,2.1,9.1,7.7,5.1,7.4,12.1,14.1,19.7,7.1,6.6,8.9,41667.0,63393.0,32.733333333333334
94,75224,16,36468,3533,10972,5.0,4.3,8.8,8.7,6.6,13.6,16.6,18.3,6.8,7.8,3.5,37225.0,51591.0,220.8125
95,75225,38,21568,1303,8846,1.2,0.9,1.6,1.1,2.0,3.8,7.3,8.1,8.5,12.2,53.3,173828.0,285679.0,34.28947368421053
96,75226,30,4790,112,1919,2.1,3.0,1.1,5.6,4.1,9.5,19.5,27.9,11.0,8.4,7.7,52587.0,66306.0,3.7333333333333334
97,75227,17,57806,5763,17067,4.5,4.4,5.2,7.7,7.1,12.3,19.5,18.7,11.6,7.2,1.7,41240.0,49579.0,339.0
98,75228,18,74605,7088,25581,4.4,4.2,6.8,7.1,8.3,13.9,14.8,16.0,10.9,9.2,4.4,40306.0,53741.0,393.77777777777777
99,75229,22,32390,2356,11150,1.0,1.4,1.9,3.6,3.7,8.1,10.3,14.0,10.9,15.2,30.0,88062.0,149799.0,107.0909090909091
100,75230,32,27521,1271,13003,1.7,0.6,3.6,3.6,6.2,8.3,11.2,13.2,8.2,11.8,31.5,78837.0,163423.0,39.71875
101,75231,35,40464,4071,16390,3.8,5.2,7.3,7.9,9.0,13.7,17.5,15.0,6.3,5.3,8.9,37189.0,61513.0,116.31428571428572
102,75232,11,30714,1936,10635,8.8,6.2,8.0,6.4,8.9,13.6,13.4,16.7,8.9,5.8,3.0,33296.0,47881.0,176.0
