,categories,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.postalCode,location.state,name,referralId,venuePage.id
0,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,50206fbfe4b0aa8c322efc7b,7152 Silverado Trl,US,McKinney,United States,Alma,4480,"['7152 Silverado Trl (Alma)', 'McKinney, TX 75070', 'United States']","[{'label': 'display', 'lat': 33.16058317713119, 'lng': -96.71285275975869}]",33.16058317713119,-96.71285275975869,75070,TX,Comstock Elementary,v-1551745308,
1,"[{'id': '4f4532974b9074f6e4fb0104', 'name': 'Daycare', 'pluralName': 'Daycares', 'shortName': 'Daycare', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}, 'primary': True}]",False,501bcd6de4b0d030d72436a6,6800 Bountiful Grove Dr.,US,McKinney,United States,,4659,"['6800 Bountiful Grove Dr.', 'McKinney, TX 75070', 'United States']","[{'label': 'display', 'lat': 33.155974, 'lng': -96.707425}]",33.155974,-96.707425,75070,TX,Joyous Montessori McKinney,v-1551745308,73492456
2,"[{'id': '4f4533814b9074f6e4fb0107', 'name': 'Nursery School', 'pluralName': 'Nursery Schools', 'shortName': 'Nursery School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,58df99b0a370b96bd97dac55,4660 Old Denton Road,US,Carrollton,United States,,19162,"['4660 Old Denton Road', 'Carrollton, TX 75010', 'United States']","[{'label': 'display', 'lat': 33.03577870103092, 'lng': -96.91797775913943}]",33.03577870103092,-96.91797775913943,75010,TX,Xplor,v-1551745308,
3,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4b561a32f964a5207e0028e3,,US,Dallas,United States,,26917,"['Dallas, TX 75243', 'United States']","[{'label': 'display', 'lat': 32.895999598521634, 'lng': -96.74384086459487}]",32.895999598521634,-96.74384086459487,75243,TX,Moss Haven Elementary,v-1551745308,
4,"[{'id': '4bf58dd8d48988d175941735', 'name': 'Gym / Fitness Center', 'pluralName': 'Gyms or Fitness Centers', 'shortName': 'Gym / Fitness', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/gym_', 'suffix': '.png'}, 'primary': True}]",False,4b4b4188f964a520ab9526e3,8335 Westchester Drive,US,Dallas,United States,at Berkshire Ln,30837,"['8335 Westchester Drive (at Berkshire Ln)', 'Dallas, TX 75225', 'United States']","[{'label': 'display', 'lat': 32.8646901, 'lng': -96.8083849}]",32.8646901,-96.8083849,75225,TX,Gold's Gym,v-1551745308,
5,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,52168d0c498e07ba0fdf5328,,US,McKinney,United States,,5554,"['McKinney, TX', 'United States']","[{'label': 'display', 'lat': 33.15163150755983, 'lng': -96.69517798637303}]",33.15163150755983,-96.69517798637303,,TX,Lindsey Elementary School,v-1551745308,
6,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4d505960e027548137ea9fb6,Navo Rd,US,Aubrey,United States,Fishtrap,19429,"['Navo Rd (Fishtrap)', 'Aubrey, TX', 'United States']","[{'label': 'display', 'lat': 33.228523205607104, 'lng': -96.93048388920711}]",33.228523205607104,-96.93048388920711,,TX,Paloma Creek Elementary,v-1551745308,
7,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4d090f08611ff04dbf421efb,,US,,United States,,18455,"['Texas', 'United States']","[{'label': 'display', 'lat': 32.97505649548918, 'lng': -96.7907420871956}]",32.97505649548918,-96.7907420871956,,Texas,Brentfield Elementary,v-1551745308,
8,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,580bda7338faca6bcd955a94,7159 E Grand Ave,US,Dallas,United States,,36886,"['7159 E Grand Ave', 'Dallas, TX 75223', 'United States']","[{'label': 'display', 'lat': 32.80669002313198, 'lng': -96.73433451106415}]",32.80669002313198,-96.73433451106415,75223,TX,Spanish House Elementary,v-1551745308,
9,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4d471b407e2e5481be727a8f,900 Bedford Rd,US,Bedford,United States,,50584,"['900 Bedford Rd', 'Bedford, TX 76022', 'United States']","[{'label': 'display', 'lat': 32.83607516059452, 'lng': -97.1575927734375}]",32.83607516059452,-97.1575927734375,76022,TX,Stonegate Elementary School,v-1551745308,45087925
