,Zipcode,Zipcode Latitude,Zipcode Longitude,Zipcode City,Venue,Venue Latitude,Venue Longitude,Venue City,Venue ZipCode
0,73432,34.2625,-96.4588,Coleman,BelcherVille Child Care,34.238101,-96.556633,Milburn,73450
1,73450,34.1952,-96.5429,Milburn,BelcherVille Child Care,34.238101,-96.556633,Milburn,73450
2,74701,34.0061,-96.3847,Durant,FCC Sunshine School,33.99396954744006,-96.3778075782848,Durant,
3,74701,34.0061,-96.3847,Durant,Little Arrows,34.006424,-96.407873,Durant,74701
4,74701,34.0061,-96.3847,Durant,Robert E. Lee Earl Childhood Education Center,34.013519,-96.411055,Durant,74701
5,74701,34.0061,-96.3847,Durant,Choctaw Nation child Development Center,33.9708317968291,-96.40935539127418,Durant,
6,74701,34.0061,-96.3847,Durant,REL Early Childhood Center,33.989691,-96.385904,Durant,74701
7,74701,34.0061,-96.3847,Durant,Three Arrows Child Development,34.006884,-96.407734,Durant,74701
8,74701,34.0061,-96.3847,Durant,Choctaw Nation Child Development Center,33.970835,-96.401946,Durant,
9,74726,33.9859,-96.1621,Bokchito,creative learning center,33.99815,-96.23419,Durant,74701
10,74730,33.9322,-96.4308,Calera,Choctaw Nation child Development Center,33.9708317968291,-96.40935539127418,Durant,
11,74730,33.9322,-96.4308,Calera,Little Arrows,34.006424,-96.407873,Durant,74701
12,74730,33.9322,-96.4308,Calera,Three Arrows Child Development,34.006884,-96.407734,Durant,74701
13,74730,33.9322,-96.4308,Calera,REL Early Childhood Center,33.989691,-96.385904,Durant,74701
14,74730,33.9322,-96.4308,Calera,Choctaw Nation Child Development Center,33.970835,-96.401946,Durant,
15,74730,33.9322,-96.4308,Calera,FCC Sunshine School,33.99396954744006,-96.3778075782848,Durant,
16,75001,32.96,-96.8385,Addison,Kumon Math and Reading Center of Addison,32.9507749,-96.8509443,Addison,75001
17,75001,32.96,-96.8385,Addison,Cambridge Academy,33.02907245086106,-96.84297824565384,Plano,75093
18,75001,32.96,-96.8385,Addison,Primrose School of Preston Hollow,32.893349214753066,-96.80524170398706,Dallas,75230
19,75001,32.96,-96.8385,Addison,Lala's Home Daycare,32.98960563057184,-96.87375068664551,Carrollton,75007
20,75001,32.96,-96.8385,Addison,Peanut Gallery,32.92826449155642,-96.81814069409724,Dallas,75240
21,75001,32.96,-96.8385,Addison,meeting of destiny,33.02643428692058,-96.79591539022742,Plano,75093
22,75001,32.96,-96.8385,Addison,Creme de la Creme,33.01554076948066,-96.81219122748006,Plano,75093
23,75001,32.96,-96.8385,Addison,Angels christian preschool,32.9819450378418,-96.79396057128906,Dallas,75248
24,75001,32.96,-96.8385,Addison,Ms. Rachael's,32.949058,-96.852809,Addison,75001
25,75001,32.96,-96.8385,Addison,Ashley's Mommy Care,32.957275390625,-96.76496124267578,Richardson,75080
26,75001,32.96,-96.8385,Addison,Phoenix Learning Center,32.928722,-96.81835,Dallas,75240
27,75001,32.96,-96.8385,Addison,E building,32.93819881529858,-96.85407404967378,,
28,75001,32.96,-96.8385,Addison,Schreiber Methodist Preschool,32.91929304599762,-96.830073595047,Dallas,
29,75001,32.96,-96.8385,Addison,Willow Bend Fitness Kids Club,33.03303337658898,-96.8279844099448,Plano,75093
30,75001,32.96,-96.8385,Addison,Little Treasures Christian Child Care,32.91538309772481,-96.85677050437734,Dallas,
31,75001,32.96,-96.8385,Addison,Ncredible Kids Out,32.951769,-96.920851,Carrollton,
32,75001,32.96,-96.8385,Addison,Hockaday CDC,32.90630118839896,-96.82782216758187,Dallas,75229
33,75001,32.96,-96.8385,Addison,J Early Childhood Center,32.89949131309178,-96.77384037472795,Dallas,75230
34,75001,32.96,-96.8385,Addison,Grannannys Daycare,32.95015351655503,-96.7790788218961,Dallas,75248
35,75001,32.96,-96.8385,Addison,Creative School,32.88291,-96.85532,Dallas,75229
36,75001,32.96,-96.8385,Addison,Xplor,32.9859,-96.8658,Carrollton,75006
37,75001,32.96,-96.8385,Addison,Kumon Math and Reading Center of Plano - Shepard,33.01914896253836,-96.79592907428741,Plano,75093
38,75001,32.96,-96.8385,Addison,Kumon Math and Reading Center of Dallas - Northaven,32.9083133,-96.8554848,Dallas,75229
39,75001,32.96,-96.8385,Addison,Mona Montessori Greentree/Brilliance,32.9367289,-96.834352,Farmers Branch,75244
40,75001,32.96,-96.8385,Addison,Children's Learning Adventure,33.03525899771516,-96.83179983880879,Plano,75093
41,75001,32.96,-96.8385,Addison,Champions at George Dealey - Closed,32.89529423057505,-96.7922642195019,Dallas,75230
42,75001,32.96,-96.8385,Addison,dallas north group,32.948448181152344,-96.76740264892578,Richardson,75080
43,75001,32.96,-96.8385,Addison,Addison KinderCare,32.9546513,-96.8231621,Addison,75001
44,75001,32.96,-96.8385,Addison,Hebron Montessori School,33.024172,-96.881465,Carrollton,75007
45,75001,32.96,-96.8385,Addison,Primrose School of Prestonwood,32.958173,-96.819698,Dallas,75248
46,75001,32.96,-96.8385,Addison,Seay Child Care Center,33.044806333542354,-96.83373212814331,Plano,75093
47,75001,32.96,-96.8385,Addison,Mona Montessori Carrollton,32.97934772521877,-96.92220276901922,Carrollton,75006
48,75001,32.96,-96.8385,Addison,Bent Tree Child Development Center,32.986887,-96.8308501,Addison,75001
49,75001,32.96,-96.8385,Addison,Kumon Math and Reading Center of Plano - Prestonwood,33.031101,-96.839584,Plano,75093
50,75001,32.96,-96.8385,Addison,Primrose School of West Plano,33.03012,-96.839166,Plano,75093
51,75001,32.96,-96.8385,Addison,"Cadence Academy Preschool, Dallas",32.92818901,-96.81881154,Dallas,75240
52,75001,32.96,-96.8385,Addison,"Cadence Academy Preschool, Rosemeade",33.01235997,-96.86932875,Carrollton,75007
53,75001,32.96,-96.8385,Addison,Frankford Road West KinderCare,32.99833,-96.906522,Carrollton,75007
54,75001,32.96,-96.8385,Addison,La Petite Academy,33.000135,-96.888653,Carrollton,75007
55,75001,32.96,-96.8385,Addison,American Montessori Campus,33.03107,-96.83982,Plano,75093
56,75001,32.96,-96.8385,Addison,Hebron KinderCare,33.02450838692404,-96.85326589079,Carrollton,75007
57,75002,33.0934,-96.6454,Allen,Twin Oaks Private School,33.10021333315885,-96.6461930971882,Allen,75002
58,75002,33.0934,-96.6454,Allen,Sara Isaacs Early Childhood School,33.04376427620307,-96.65962802343451,Plano,75074
59,75002,33.0934,-96.6454,Allen,Spanish Schoolhouse,33.0991008,-96.6995987,Allen,75013
60,75002,33.0934,-96.6454,Allen,Kumon Math and Reading Center of Allen - Towne Center,33.102106,-96.659517,Allen,75002
61,75002,33.0934,-96.6454,Allen,Carpe Diem Private Preschool - Allen,33.10923569,-96.67910656,Allen,75013
62,75002,33.0934,-96.6454,Allen,Kids R Kids,33.08640057222869,-96.66409062552796,Allen,75002
63,75002,33.0934,-96.6454,Allen,Primrose School of East Allen,33.11432467147964,-96.62738255692375,Allen,75002
64,75002,33.0934,-96.6454,Allen,YMCA after school care,33.16490936279297,-96.7029800415039,McKinney,75070
65,75002,33.0934,-96.6454,Allen,Kids 'R' Kids of West Allen,33.11706328075058,-96.70028507928274,Allen,75013
66,75002,33.0934,-96.6454,Allen,Adventure Kids Playcare,33.16882543354046,-96.66719938431667,McKinney,75070
67,75002,33.0934,-96.6454,Allen,Xplor Schools,33.11348708412608,-96.68050105590022,Allen,75013
68,75002,33.0934,-96.6454,Allen,Nannying,33.12324665884773,-96.58144331192874,Lucas,75002
69,75002,33.0934,-96.6454,Allen,Tong Xin Learning Center (EduTree),33.087284,-96.735675,Plano,75025
70,75002,33.0934,-96.6454,Allen,Little Harts Preschool,33.09326959225918,-96.59370392560959,Lucas,75002
